date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:34:02	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:53%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/home-concept-icons-dark.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/home-concept-icons-dark.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme_iyp9no.css)
13:34:03	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:53%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/arrows-dark.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/arrows-dark.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme_iyp9no.css)
13:34:04	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:54%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/history-thumb-dark.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/history-thumb-dark.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme_iyp9no.css)
13:34:05	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:55%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/patterns/stripes.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/patterns/stripes.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme-elements_fgst3r.css)
13:34:05	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:56%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/video-overlay-dark.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/video-overlay-dark.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme-elements_fgst3r.css)
13:34:06	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:56%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/custom-underline.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/custom-underline.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme-elements_fgst3r.css)
13:34:06	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:57%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/patterns/worn_dots.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/patterns/worn_dots.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme-elements_fgst3r.css)
13:34:07	0/-1	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:58%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/patterns/az_subtle.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/patterns/az_subtle.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme-elements_fgst3r.css)
13:34:08	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:33:59%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/arrows.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/arrows.182.delayed	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme-elements_fgst3r.css)
13:34:09	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:34:00%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/flags.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/flags.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme-elements_fgst3r.css)
13:34:10	0/0	---M--	401	error ('Unauthorized')	image/gif	date:Sun,%2029%20Apr%202018%2006:34:00%20GMT	https://res.cloudinary.com/ddtpxyvco/raw/upload/img/history-thumb.png	X:/kuliah/Semester%204/RPL/tubes_rpl/res.cloudinary.com/ddtpxyvco/raw/upload/img/history-thumb.png	(from https://res.cloudinary.com/ddtpxyvco/raw/upload/v1490459253/theme-elements_fgst3r.css)
13:34:11	255778/255778	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Apr%202018%2006:34:01%20GMT	https://kai.id/corporate/passenger_services/	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/corporate/passenger_services/index.html	(from https://kai.id/corporate/page/31)
13:34:11	0/-1	---M--	302	error ('')			https://kai.id/corporate/page/20	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/corporate/page/20.186.delayed	(from https://kai.id/corporate/asset_st/1-stasiun-gambir)
13:34:12	178345/178345	---MCZ	200	added ('OK')	text/html	date:Sun,%2029%20Apr%202018%2006:34:01%20GMT	https://kai.id/corporate/asset_st/index.html	X:/kuliah/Semester%204/RPL/tubes_rpl/kai.id/corporate/asset_st/index.html	(from https://kai.id/corporate/asset_st/1-stasiun-gambir)
